"setpoint_db","freq_hz:measured_gain_db"
-84.500000,600018310.546875:-51.264317;620013427.734375:-47.177257;640008544.921875:-40.774630;660003662.109375:-30.603735;679998779.296875:-19.456582;699993896.484375:-12.312753;719989013.671875:-9.971399;739984130.859375:-9.612633;759979248.046875:-9.573622;779974365.234375:-9.584917;799969482.421875:-9.567962;819964599.609375:-9.627031;839959716.796875:-9.843808;859954833.984375:-9.991981;879949951.171875:-9.863848;899945068.359375:-9.575950;919940185.546875:-9.055614;939935302.734375:-8.384262;959930419.921875:-8.129657;979925537.109375:-7.820372;999920654.296875:-7.442833;1019915771.484375:-7.418128;1039910888.671875:-7.504431;1059906005.859375:-7.604709;1079901123.046875:-8.197583;1099896240.234375:-10.086560;1119891357.421875:-15.441167;1139886474.609375:-24.399496;1159881591.796875:-32.283181;1179876708.984375:-38.207914;1179876708.984375:-38.207914
-84.000000,600018310.546875:-50.102979;620013427.734375:-46.090047;640008544.921875:-40.122502;660003662.109375:-30.842950;679998779.296875:-20.067879;699993896.484375:-12.400368;719989013.671875:-9.576331;739984130.859375:-9.104157;759979248.046875:-9.088883;779974365.234375:-9.134162;799969482.421875:-9.153047;819964599.609375:-9.199096;839959716.796875:-9.340060;859954833.984375:-9.366907;879949951.171875:-8.729860;899945068.359375:-7.421386;919940185.546875:-6.654779;939935302.734375:-6.820756;959930419.921875:-7.179979;979925537.109375:-7.095415;999920654.296875:-6.872233;1019915771.484375:-7.003764;1039910888.671875:-7.211100;1059906005.859375:-7.110385;1079901123.046875:-7.376902;1099896240.234375:-9.006073;1119891357.421875:-14.071264;1139886474.609375:-22.822710;1159881591.796875:-30.681295;1179876708.984375:-36.743915;1179876708.984375:-36.743915
-83.500000,600018310.546875:-65.623065;620013427.734375:-65.450489;640008544.921875:-63.595715;660003662.109375:-58.368685;679998779.296875:-50.394594;699993896.484375:-42.620217;719989013.671875:-38.309847;739984130.859375:-36.818544;759979248.046875:-36.268748;779974365.234375:-36.095929;799969482.421875:-36.127758;819964599.609375:-36.503318;839959716.796875:-37.286450;859954833.984375:-37.831674;879949951.171875:-37.379166;899945068.359375:-35.865055;919940185.546875:-34.441594;939935302.734375:-34.911584;959930419.921875:-35.886529;979925537.109375:-35.726437;999920654.296875:-35.165659;1019915771.484375:-35.177888;1039910888.671875:-35.293363;1059906005.859375:-35.355083;1079901123.046875:-36.211256;1099896240.234375:-38.746340;1119891357.421875:-44.458320;1139886474.609375:-53.028216;1159881591.796875:-59.547425;1179876708.984375:-63.174933;1179876708.984375:-63.174933
-83.000000,600018310.546875:-65.517992;620013427.734375:-65.296765;640008544.921875:-63.600503;660003662.109375:-58.395308;679998779.296875:-49.579385;699993896.484375:-41.165008;719989013.671875:-36.719513;739984130.859375:-35.249163;759979248.046875:-34.734570;779974365.234375:-34.576587;799969482.421875:-34.612586;819964599.609375:-34.969744;839959716.796875:-35.717347;859954833.984375:-36.152061;879949951.171875:-35.138401;899945068.359375:-33.035382;919940185.546875:-32.226980;939935302.734375:-33.300854;959930419.921875:-34.392161;979925537.109375:-34.224226;999920654.296875:-33.730840;1019915771.484375:-33.852940;1039910888.671875:-33.895701;1059906005.859375:-33.860764;1079901123.046875:-34.703125;1099896240.234375:-37.256714;1119891357.421875:-43.013448;1139886474.609375:-51.728914;1159881591.796875:-58.555230;1179876708.984375:-62.527242;1179876708.984375:-62.527242
-82.500000,600018310.546875:-65.359142;620013427.734375:-64.831423;640008544.921875:-62.226645;660003662.109375:-55.686318;679998779.296875:-46.711207;699993896.484375:-39.105199;719989013.671875:-35.120584;739984130.859375:-33.749405;759979248.046875:-33.277706;779974365.234375:-33.137869;799969482.421875:-33.166115;819964599.609375:-33.492386;839959716.796875:-34.202559;859954833.984375:-34.716968;879949951.171875:-34.337317;899945068.359375:-33.160081;919940185.546875:-32.082558;939935302.734375:-32.285442;959930419.921875:-32.991804;979925537.109375:-32.750268;999920654.296875:-32.163421;1019915771.484375:-32.254834;1039910888.671875:-32.619413;1059906005.859375:-32.882192;1079901123.046875:-33.510368;1099896240.234375:-35.867731;1119891357.421875:-41.613819;1139886474.609375:-50.392630;1159881591.796875:-57.359369;1179876708.984375:-61.563664;1179876708.984375:-61.563664
-82.000000,600018310.546875:-65.207727;620013427.734375:-64.475802;640008544.921875:-61.490269;660003662.109375:-54.275024;679998779.296875:-44.570524;699993896.484375:-36.848303;719989013.671875:-33.272730;739984130.859375:-32.172903;759979248.046875:-31.769766;779974365.234375:-31.664906;799969482.421875:-31.674961;819964599.609375:-31.947045;839959716.796875:-32.640888;859954833.984375:-33.151080;879949951.171875:-32.795107;899945068.359375:-31.939517;919940185.546875:-31.325365;939935302.734375:-31.319813;959930419.921875:-31.583954;979925537.109375:-31.183846;999920654.296875:-30.596478;1019915771.484375:-30.651198;1039910888.671875:-30.834074;1059906005.859375:-30.988618;1079901123.046875:-31.935434;1099896240.234375:-34.407119;1119891357.421875:-40.141468;1139886474.609375:-49.021207;1159881591.796875:-56.214667;1179876708.984375:-60.710764;1179876708.984375:-60.710764
-81.500000,600018310.546875:-64.927995;620013427.734375:-64.000884;640008544.921875:-61.170233;660003662.109375:-54.640016;679998779.296875:-45.079486;699993896.484375:-36.383260;719989013.671875:-31.949760;739984130.859375:-30.630781;759979248.046875:-30.239018;779974365.234375:-30.137083;799969482.421875:-30.138052;819964599.609375:-30.384376;839959716.796875:-31.034457;859954833.984375:-31.426449;879949951.171875:-30.460598;899945068.359375:-28.466988;919940185.546875:-27.674727;939935302.734375:-28.741436;959930419.921875:-29.829695;979925537.109375:-29.630731;999920654.296875:-29.056842;1019915771.484375:-29.207756;1039910888.671875:-29.480364;1059906005.859375:-29.414175;1079901123.046875:-30.156145;1099896240.234375:-32.748113;1119891357.421875:-38.621591;1139886474.609375:-47.592277;1159881591.796875:-54.940285;1179876708.984375:-59.691925;1179876708.984375:-59.691925
-81.000000,600018310.546875:-64.679643;620013427.734375:-63.411397;640008544.921875:-59.929153;660003662.109375:-52.757635;679998779.296875:-43.328867;699993896.484375:-34.849162;719989013.671875:-30.480670;739984130.859375:-29.213084;759979248.046875:-28.842028;779974365.234375:-28.731714;799969482.421875:-28.726002;819964599.609375:-28.954458;839959716.796875:-29.570778;859954833.984375:-29.999388;879949951.171875:-29.377713;899945068.359375:-27.758841;919940185.546875:-26.637895;939935302.734375:-27.393376;959930419.921875:-28.438539;979925537.109375:-28.232125;999920654.296875:-27.648168;1019915771.484375:-27.814084;1039910888.671875:-28.098896;1059906005.859375:-28.005260;1079901123.046875:-28.741774;1099896240.234375:-31.359978;1119891357.421875:-37.266686;1139886474.609375:-46.291240;1159881591.796875:-53.746431;1179876708.984375:-58.692469;1179876708.984375:-58.692469
-80.500000,600018310.546875:-64.289230;620013427.734375:-62.714424;640008544.921875:-58.889805;660003662.109375:-51.416153;679998779.296875:-41.787086;699993896.484375:-33.228313;719989013.671875:-28.894636;739984130.859375:-27.671660;759979248.046875:-27.305081;779974365.234375:-27.173977;799969482.421875:-27.161314;819964599.609375:-27.394288;839959716.796875:-27.999531;859954833.984375:-28.402931;879949951.171875:-27.765449;899945068.359375:-26.151141;919940185.546875:-25.064953;939935302.734375:-25.847095;959930419.921875:-26.907120;979925537.109375:-26.705935;999920654.296875:-26.107732;1019915771.484375:-26.264131;1039910888.671875:-26.551068;1059906005.859375:-26.430754;1079901123.046875:-27.152050;1099896240.234375:-29.790122;1119891357.421875:-35.730787;1139886474.609375:-44.807581;1159881591.796875:-52.360929;1179876708.984375:-57.492515;1179876708.984375:-57.492515
-80.000000,600018310.546875:-63.830111;620013427.734375:-61.961199;640008544.921875:-57.691098;660003662.109375:-49.643379;679998779.296875:-39.750288;699993896.484375:-31.403038;719989013.671875:-27.316986;739984130.859375:-26.164448;759979248.046875:-25.783623;779974365.234375:-25.648513;799969482.421875:-25.615230;819964599.609375:-25.829286;839959716.796875:-26.464011;859954833.984375:-26.913408;879949951.171875:-26.454577;899945068.359375:-25.121596;919940185.546875:-23.944202;939935302.734375:-24.435372;959930419.921875:-25.349009;979925537.109375:-25.146806;999920654.296875:-24.541565;1019915771.484375:-24.557381;1039910888.671875:-24.795654;1059906005.859375:-24.914156;1079901123.046875:-25.643914;1099896240.234375:-28.201471;1119891357.421875:-34.162619;1139886474.609375:-43.310964;1159881591.796875:-50.984158;1179876708.984375:-56.286192;1179876708.984375:-56.286192
